Название,Описание (основной текст),Совет (толкование карты),"Ключевое значение (слова, словосочетания)"
Кот Баюн,"Кот-людоед, обладающий волшебным голосом и огромными размерами. С помощью своего голоса он усыпляет людей и затем съедает их.
Кот Баюн является символом мудрости и знания, которые передаются из поколения в поколение. Он также символизирует опасность и угрозу, которые могут возникнуть, если не соблюдать осторожность.
","Карта призывает вас быть бдительными. Возможно кто-то или что-то пытается затуманить ваш разум сладкими речами. Не торопитесь принимать предложения, обещающие вам золотые горы. Вероятно, в них есть подвох. Кот Баюн напоминает нам: то, что на первый взгляд мило и безобидно, на самом деле может быть гораздо более коварным и опасным. Будьте на чеку. ","Внимательность, осторожность"
Цветок папоротника,"Согласно славянским поверьям, папоротник цветёт лишь один миг, в ночь накануне Ивана Купалы. Сорвавший цвет папоротника и сохраняющий его при себе приобретает необычные возможности. Он становится прозорливым, может понимать язык животных, входить беспрепятственно в сокровищницы, становиться невидимым и принимать любое обличье.
","Вы необыкновенно удачливы! И ваша удача — это не просто случайность, а следствие череды верных выборов и упорной работы. Любые поиски, за которые вы возьметесь, увенчаются успехом. Вам открыты многие знания, вы видите тайные знаки и ключи. Воспользуйтесь этим даром для благих целей.","Удача, новые возможности"
Перышко Финиста," Магический предмет из русских народных сказок о юноше Финисте, способном превращаться в сокола, и о девушке, его полюбившей. Чтобы быть вместе, влюбленным необходимо преодолеть множество препятствий.","В вашей жизни есть ценная связь. Это отношения с партнером, или близким человеком. За вами выбор, беречь ее или оборвать. Сохранить эту связь и укрепить ее поможет упорный труд, и он будет вознагражден сполна. В противном случае, связь может разрушиться. ","Ценная связь, работа над отношениями"
Волшебный клубок,"Волшебный клубок указывает путнику дорогу, не позволяя ступить на неверный путь. По мнению исследователей древнерусского фольклора, в дохристианской Руси могла быть распространена узелковая письменность, так что клубочек — не что иное, как древняя книга.","Карта символизирует успешный выход из самых запутанных ситуаций. Присмотритесь к знакам, которые вас окружают. Возможно, все ответы уже у вас на виду и остается просто их прочесть.","Путеводитель, дорога к цели, выход из тупика"
Тридевятое царство,"В тридевятом царстве жили цари и царицы, жар-птица и сказочные животные. Здесь же росли яблони с молодильными яблочками и текли источники с живой и мертвой водой. Чтобы до него добраться, нужно проехать множество стран и преодолеть разные испытания. В некоторых легендах это место представлено как потусторонний мир или же золотой город. ","Карта призывает вас присмотреться к своим целям: насколько они реальны, не подвержены ли вы идеализированным образам, несбыточным иллюзиям? Возможно, вы принимаете желаемое за действительное. Прислушайтесь к себе.","Испытания, иллюзии, долгая дорога"
Лукоморье,"Славяне называли Лукоморьем заповедное место на самом краю земли. Здесь росло великое древо, с помощью которого можно было попасть в другие миры. Его ветви достигали неба, а корни — подземного царства мертвых. Чаще всего таким деревом считали дуб.","Вы находитесь на этапе, когда можно сделать любой выбор, и он будет правильным. Все пути вам открыты, и в вас достаточно мудрости чтобы пойти по тому, который приведет к цели.","Путешествие, мудрость, время действовать"
Кукла-мотанка,"Кукла-мотанка — древний славянский оберег, сделанный вручную, без иглы. У нее нет лица, чтобы никакая душа не смогла в неё вселиться. Каждый узелок, каждый виток нити несёт в себе доброе пожелание и заботу о доме. Мотанка хранит мир в семье, отводит беду, оберегает детей и усиливает женскую энергию рода. Это не просто кукла, а символ связи с предками и доверия к ближнему. Её не просят о чудесах — ей шепчут сокровенное, и она незаметно действует.","Эта карта говорит о силе, которая рождается в любви и заботе. Возможно, сейчас стоит обратить внимание на своё пространство и окружение — дом, близких, внутренний покой. Вы способны оберегать и быть оберегом. Всё, что создано с любовью, обладает защитной силой.","Связь поколений, оберег, внутренний покой"
Избушка на курьих ножках,"Избушка на курьих ножках — загадочное место, в котором живет лесная ведьма Баба Яга. Сама изба служит волшебным порталом, соединяющим мир живых и подземный мир. Избушка находится в глубине леса и может спасти заплутавшего искателя приключений. Здесь можно передохнуть и решить, куда двигаться дальше, пока не вернулась хозяйка избушки.","Карта напоминает, что любому из нас необходима передышка перед следующим увлекательным путешествием. Воспользуйтесь этой возникшей возможностью для восстановления сил. Однако помните, что вы находитесь в избушке не по приглашению, а вынужденно. Чтобы не встретиться с хозяйкой избушки, не задерживайтесь здесь слишком долго.","Отдых, перерыв, восстановление сил"
Прялка,"Прялка является оберегом дома от злых духов. Она обладает магической силой: способностью вызывать дождь, отгонять нечисть, защищать от страшной непогоды. Прялка олицетворяет женское начало. Когда пряли, то пели песни, очищая душу и сердце от грустных, тягостных мыслей.","Карта символизирует благополучие, успех в делах и покой на душе. Сейчас время забыть о внешних проблемах и сосредоточиться на обретении гармонии и уюта в вашем доме. Прялка защитит ваш очаг и даст вам ту самую внутреннюю силу противостоять любым невзгодам. Ваша семья и близкие люди станут для вас необходимой надежной опорой.","Оберег, защита, гармония"
Венок,"Венок олицетворяет девичью красоту, молодость и чистоту. Венки использовали не только в качестве головного убора, но и вешали в доме, как оберег от злых сил и болезней. Каждый цветок в венке имеет особый смысл. По цветам можно понять многое о владелице венка. В волшебную ночь на Ивана Купалу на венках гадали, пытаясь узнать ответы на сокровенные вопросы.","Карта олицетворяет заветное послание — весточку от любимого человека.
Кто-то думает о вас и хочет быть рядом. Вас ждет возобновление отношений или начало нового романа.
Стоит ли погружаться в омут страстей — решать вам. Доверяйте только своему сердцу.","Любовное послание, новость, роман"
Сивка-бурка,"Волшебный конь, житель подземного мира, помощник и хранитель рода. При его появлении «земля дрожит», а из его ноздрей «пламя пышет». Всегда держит свое слово и готов помочь, искренне предан хозяину. Несмотря на то, что он всегда возвращется в загробный мир, он также обладает силой солнца.","Карта призовет волшебного доброго друга и помощника, который сделает вашу жизнь проще. Ему ничего не нужно взамен, лишь бы у вас все сложилось благополучно. Разве это не чудо?","Помощь, решение проблемы, хранитель"
Царевна-лягушка,"Прекрасная юная девица, волшебница и оборотень. 
Способна изменять свой внешний вид и окружающий мир.
Несет в себе добрую, светлую энергию. 
Наложенное на нее заклятие вынуждает ее существовать в двух мирах: волшебном и реальном.","Вы — творец вашей судьбы. Поверьте в себя и обратитесь к своим талантам. 
Подобно Царевне-лягушке используйте ваши способности и скрытый потенциал. Не бойтесь действовать и быть собой. Настал ваш час!","Перемены, трансформация, новый путь"
Водяной,"Водяной — это сама стихия воды, принявшая облик пугающего, ворчливого незнакомца. Глубокий, как омут, коварный, как течение, он живёт в тишине прудов, воронках рек, а также у водяных мельниц. Водяной не терпит шума, насмешек и бестактных гостей. Он без предупреждения может затянуть под воду, сбить с пути, спутать разум. Однако в его царстве скрыты и дары. Он не враг, но может быть очень опасен, и каждый шаг по его территории требует осторожности.","Остерегайтесь того, чего не понимаете. Не предпринимайте решительных действий без должной подготовки и анализа. Карта говорит о необходимости проявить осторожность, сдержанность и уважение. Не вторгайтесь в чужое пространство с грубостью, иначе последствия будут непредсказуемы.","Осторожность, уважение, обдуманные решения"
Живана,"Живана — богиня жизни, весны и плодородия. С её приходом просыпается земля, распускаются цветы, возвращается тепло. Она не просто символ природы, а её дыхание. Там, где ступает Живана, всё оживает. Её энергия мягкая, но неудержимая, как росток, пробивающий камень. Она — женское начало в его первозданной силе: созидающее, питающее и возрождающее.","Позвольте себе быть, цвести, радоваться без причины. Сейчас важно не браться за что-то новое, а заботиться о том, что уже присутствует в вашей жизни. Наполните день простыми радостями и доверьтесь естественному ходу вещей.","Созидание, плодородие, принятие жизни"
Волк,"Волк является одним из главных животных в славянской мифологии и сказках. У него есть особая связь с двумя мирами: живых и мертвых. Волк двулик и чужд обоим мирам. Он может быть и надежным другом, и страшным врагом.","Карта олицетворяет внезапную встречу, результат которой будет зависеть только от вас. Волк может стать вашим мудрым помощником или же опасным врагом.
Эта встреча может сулить удачу, если у вас получится подружиться с волком. Если нет, то лучше избежать столкновения с ним.","Встреча, незнакомец, угроза"
Лес,"Потусторонее пространство, обитель духов, где можно ненароком заблудиться и долго искать выход.","Карта олицетворяет предупреждение. Путь привел вас в лес. Это загадочное место может увлечь вас. Тропинка будет извиваться, высокие деревья скрывать от вас свет, а дикие ягоды заманивать сойти с пути. Гуляйте по волшебному лесу, но помните о вашей цели. Не теряйте время и не отвлекайтесь от ваших дел.","Предупреждение, лабиринт, потеря ориентира"
Голова богатыря,"Гигантская голова, которая раньше принадлежала великому богатырю. Она покоится среди гор и охраняет древние сокровища. Голова великого витязя — свидетель многих событий. Сейчас она лишь служит напоминанием о былых временах, славных битвах и легендарных воинах.","Встреча с волшебной головой предвещает получение ценного совета. Прислушайтесь к ее словам, даже если на первый взгляд они покажутся бессмысленными, в них может быть сокрыта истинная мудрость.","Совет, подсказка"
Кикимора,"Кикимора бывает домашней и болотной. Домашние Кикиморы могут появиться не только в домах, но также в банях и кабаках. Украдкой она причиняет мелкий вред домашнему хозяйству, творит пакости. Иногда она решается помочь хозяйке, но все у Кикиморы идет кувырком. Любит путать пряжу, свистеть в стенах по ночам и мешать спать хозяевам.","Эта карта предвещает появление Кикиморы в доме.  Она означает, что в доме не все благополучно. Чтобы исправить ситуацию, займитесь домашней уборкой. Хорошо проветрите помещение, чтобы выдуло Кикимору. Завершите начатые ранее дела.",Беспорядок в доме и в делах
Наливное яблочко,"В древние времена блюдце часто использовалось для гаданий, а наливное яблочко являлось символом плодородия и изобилия. Эти предметы были связаны с магией и использовались для общения с духами и божествами. Наливное яблочко и блюдце помогали увидеть все, что захочет их владелец.
","Эта карта открывает обзор.
Она позволяет увидеть ситуацию целиком, не вмешиваясь в её ход.То, что было далёким и скрытым, станет близким и ясным. Сейчас важно видеть, а не двигаться. Ваш взор больше не затуманен","Откровение, наблюдение, скрытая информация"
Болото,"Болото — место застоя и забвения. Оно медленно затягивает в свои глубины. В его топях легко увязнуть не только самому, но и утянуть за собой того, кто попытается спасти. Это пространство опасности и ускользающей реальности. Выбраться сможет не тот, кто борется, а тот, кто сумеет остановиться, восстановить ясность разума.","Карта предупреждает о том, что можно увязнуть в эмоциях, событиях, чужих ожиданиях. Присмотритесь к себе, к тому, что тянет вниз. Ясность приходит, когда утихает паника. Путь найдётся, если вы вспомните, зачем шагнули в болото.","Забвение, застой, ловушка"
Малахитовая шкатулка,"Олицетворяет противоположность ящика Пандоры, ведь в ней таятся не беды и несчастья, а вся красота земная, способная осчастливить знающего человека. Символ счастья, благополучия, защиты.","Карта символизирует успех и процветание в жизни. В трудный момент тебя ожидает чья-то помощь. Ты можешь получить дар, который позволит тебе улучшить своё материальное положение.","Улучшение материального положения, подарок"
